date	HL_CI4_T_op	HL_CI4_T_air	HL_CI4_theta_c	HL_CE2_T_op	HL_CE2_T_air	HL_CE2_theta_c	HL_CJ1_T_op	HL_CJ1_T_air	HL_CJ1_theta_c	HL_CL1_T_op	HL_CL1_T_air	HL_CL1_theta_c	HL_CI3_T_op	HL_CI3_T_air	HL_CI3_theta_c
2025-01-14 02:50:00	17.74350649	17.962964319382976	17.644909494190266	17.50392927	17.863787440003154	17.34225386028844	17.50754815	17.87090255328135	17.344301968815635	17.85769900885505	17.83365447690127	17.868501624660368	16.935861679999995	17.204529724258187	16.815155747072403
2025-01-14 03:00:00	17.74350649	18.00465297775555	17.62617980709534	17.50392927	17.89301032437721	17.329124738323287	17.50754815	17.89590547105689	17.333068773873002	17.768596506867652	17.717402907795574	17.79159652963916	16.935861679999995	17.251915469571873	16.79386649917785
2025-01-14 03:10:00	17.74350649	18.019983026068697	17.619292394085086	17.50392927	17.88753029981673	17.331586778343212	17.50754815	17.888690933216918	17.336310087975015	17.740104748948433	17.73308356078024	17.7432591958066	16.93586168	17.26187021527481	16.78939407719537
2025-01-14 03:20:00	17.74350649	18.020625658852214	17.619003675008436	17.50392927	17.883344234994677	17.333467474132828	17.50754815	17.88712617550851	17.3370130950614	17.68249534	17.67555613067616	17.68561295578317	16.935861679999995	17.263674847217608	16.788583300525417
2025-01-14 03:30:00	17.74350649	18.02200183532862	17.618385392823377	17.50392927	17.889131029217573	17.33086761006167	17.50754815	17.88490470828179	17.338011145554567	17.68249534	17.75647129738312	17.649259764943814	16.935861679999995	17.264083847870587	16.788399546608858
2025-01-14 03:40:00	17.74350649	18.022650626398875	17.618093906980228	17.50392927	17.900824239483754	17.325614138782665	17.50754815	17.89017692071076	17.33564247040532	17.68249534	17.819569741280933	17.620911188699864	16.935861679999995	17.26886750716084	16.78625036634802
2025-01-14 03:50:00	17.74350649	18.030440826980577	17.614593961791336	17.50392927	17.893610558483747	17.32885506792759	17.50754815	17.88945685311008	17.3359659790375	17.68249534	17.84065987581637	17.61143591086511	16.935861680000002	17.274785891845987	16.783591381924268
2025-01-14 04:00:00	17.74350649	18.04038123540791	17.61012798119355	17.50392927	17.901432261227008	17.32534096959366	17.50754815	17.9038815294718	17.32948532733876	17.68249534	17.865916827140445	17.600088584907915	16.93586168	17.288957619958378	16.777224373641886
2025-01-14 04:10:00	17.74350649	18.03882056027498	17.610829154079354	17.50392927	17.902638191691462	17.324799174747312	17.50754815	17.904270862292226	17.3293104096948	17.68249534	17.888206329069792	17.590074460852698	16.93586168	17.292925307684207	16.775441789301297
2025-01-14 04:20:00	17.74350649	18.03499793206593	17.612546566752982	17.50392927	17.90151205665791	17.32530511947253	17.50754815	17.908048272688617	17.327613312270334	17.68249534	17.902542100566784	17.583633751919272	16.935861680000002	17.291781624209946	16.775955618108576
2025-01-14 04:30:00	17.74350649	18.039465126368214	17.610539566414282	17.50392927	17.901258674373718	17.325418957890065	17.50754815	17.90629683044169	17.3284001921204	17.68249534	17.90714621040293	17.58156523880448	16.935861680000002	17.299891150247213	16.772312207859947
2025-01-14 04:40:00	17.74350649	18.037804941569174	17.61128544654138	17.50392927	17.899264313348098	17.326314975162447	17.50754815	17.900019802714695	17.33122030602673	17.68249534	17.892245248673536	17.588259873784352	16.93586168	17.29829399477757	16.77302977046225
2025-01-14 04:50:00	17.74350649	18.037754806093346	17.611307971175442	17.50392927	17.902039004104083	17.32506837496773	17.50754815	17.897006253807724	17.332574219303773	17.68249534	17.900523314325895	17.584540742839096	16.93586168	17.284633583937875	16.77916705649168
2025-01-14 05:00:00	17.74350649	18.040440356531494	17.61010141952932	17.50392927	17.900210492158102	17.325889880334767	17.50754815	17.898494467513135	17.331905601552066	17.68249534	17.907406905527132	17.5814481149081	16.93586168	17.298198673851218	16.773072595805974
2025-01-14 05:10:00	17.74350649	18.03741044528946	17.61146268400038	17.50392927	17.90707046889794	17.322807861799475	17.50754815	17.906872925822316	17.328141366659537	17.68249534	17.91395426627506	17.578506547035843	16.93586168	17.314485343813523	16.765755396257692
2025-01-14 05:20:00	17.74350649	18.04000032390704	17.61029911534611	17.50392927	17.904677986021063	17.323882745410824	17.50754815	17.904579756474014	17.329171631149354	17.68249534	17.913224338428115	17.57883448563375	16.935861680000002	17.303691709764735	16.7706047101057
2025-01-14 05:30:00	17.74350649	18.03750008056191	17.61142241308088	17.50392927	17.894699127361957	17.32836600075042	17.50754815	17.899146880146276	17.331612488629933	17.68249534	17.91326518901087	17.578816132473385	16.93586168	17.289341390788792	16.777051954863005
2025-01-14 05:40:00	17.74350649	18.041416990335605	17.60966264202313	17.50392927	17.898587763896764	17.326618932162322	17.50754815	17.905747840723762	17.32864683967483	17.68249534	17.907318655913215	17.581487763285367	16.93586168	17.30272175741591	16.771040485798647
2025-01-14 05:50:00	17.74350649	18.042954579637456	17.608971841032442	17.50392927	17.904670504186615	17.32388610681471	17.50754815	17.9108805721253	17.326340829914717	17.68249534	17.92611974753036	17.573040896037078	16.93586168	17.307432407968694	16.768924106564782
2025-01-14 06:00:00	17.89922034023447	18.410325006385087	17.6695936061668	17.50392927	17.90059068427519	17.325719069383616	17.50754815	17.893284007813968	17.33424653272126	17.937802662210657	18.5411688502506	17.666725099468067	16.93586168	17.315107444208078	16.76547590187753
2025-01-14 06:10:00	18.364706624215536	19.424445974344273	17.888591843722914	17.71168959	18.388184496537637	17.407757095758456	17.926874002876247	18.891373100203104	17.49354832146853	18.27522793104901	19.220332384338917	17.85061578536804	17.415065437350655	18.358266570482737	16.991308406523203
2025-01-14 06:20:00	18.583295961617115	19.670862928641622	18.09467891846117	18.222495374514466	19.494156323527562	17.651169440899885	18.17595003	19.2747148408284	17.682302071511874	18.44422274137131	19.388610802505067	18.019932453035857	17.5398773	18.42842638654792	17.14067408720311
2025-01-14 06:30:00	18.78739871695311	19.882103313539748	18.295574912689545	18.43964233391687	19.712043340141868	17.867983910830276	18.175950030000003	19.03663136575681	17.7892671110368	18.493947860000002	19.25803296037583	18.150663249686225	17.74735081	18.711965984765275	17.31397297785908
2025-01-14 06:40:00	18.962321909716106	20.029072772969744	18.48305702912389	18.64291074887205	19.89958852862827	18.078316384054034	18.2727746	19.112832585293912	17.89535724428824	18.777467409999996	19.776402819081188	18.328670342151927	17.85108756	18.740733262828112	17.451391664526504
2025-01-14 06:50:00	19.125	20.151397859293354	18.6638647298827	18.848885650366192	20.09875531270183	18.287350004969017	18.396147839999998	19.254015172045694	18.01072918357367	18.936244297096415	19.91476557368244	18.496618796021533	17.851087559999996	18.565582296598762	17.53008267833968
2025-01-14 07:00:00	19.09740259999999	19.836005073769105	18.765566705987776	19.12394008663176	20.449436943425955	18.52842700604306	18.616345650000003	19.610638563508655	18.169634341032342	19.084769945391386	20.033802923185277	18.658392810440507	18.058561070000003	18.898348337358158	17.681265341186922
2025-01-14 07:10:00	19.124999999999996	19.748478174916478	18.844886617066503	19.380532788757613	20.748850732366677	18.765781248875275	18.977681491832442	20.26056152804791	18.40131509875013	19.31109765313542	20.3319191065062	18.85246772480941	18.47104683716301	19.65020657765592	17.941279417521265
2025-01-14 07:20:00	19.454545449999998	20.42983013897415	19.016374067997116	19.611907677984806	20.986581654848212	18.994300528959222	19.23413153351752	20.5627453941847	18.637218059884432	19.482274383154675	20.491294622228228	19.028946449657862	18.772503107149433	20.03549832169261	18.205070474528583
2025-01-14 07:30:00	19.45454545	20.215102990376597	19.112845685482977	19.75229790387509	21.025252117604822	19.18039093828637	19.3815721	20.604294095329937	18.83223323253292	19.689390301467395	20.73629018028714	19.2190439790991	18.97378695	20.185189889931973	18.42953345524795
2025-01-14 07:40:00	19.6921768511216	20.623423414275766	19.273790714052343	19.93195107609191	21.170704906626547	19.37540950005461	19.630831658955167	20.940573697038936	19.042396830250862	19.78520334684185	20.728828876732067	19.361255645007116	19.10596765	20.226059195151795	18.602738115221648
2025-01-14 07:50:00	19.51169479361763	19.98893262011714	19.297283596204803	19.972003929999996	20.97210169486588	19.52268464433561	19.57522124	20.512021478054745	19.15433997362758	19.956134929196224	20.908821200715252	19.528116459383327	19.238148350000003	20.287770532375134	18.76657896371552
2025-01-14 08:00:00	19.224707667160004	19.304978156282115	19.188644114076165	19.972003929999996	20.821094001918993	19.590528680297258	19.62831858	20.503883554854568	19.23494880868853	20.013500930000003	20.815907716005892	19.65299933049012	19.295036249999995	20.209459459331867	18.884208431314658
2025-01-14 08:10:00	19.276689076689888	19.49417812116404	19.17897660743338	19.99705305	20.75082282223514	19.658402862474066	19.72514315	20.58182393239292	19.34025758109884	20.052607079999998	20.73131389878683	19.74768082808128	19.245733897340482	19.922253867648323	18.94179014256449
2025-01-14 08:20:00	19.197494129792883	19.374107000445523	19.118146318340248	19.88524344469222	20.396562940542644	19.655520192933334	19.725143150000005	20.436722095091223	19.405448261625686	19.879422720000008	20.147751921365366	19.758869020835867	18.701507935273504	18.643032972393794	18.72777929540786
2025-01-14 08:30:00	19.278477376881145	19.61312338614552	19.128129169820344	19.542350397095422	19.595025055484275	19.51868497086274	19.40812077	19.585576658759614	19.32839421128191	19.792830540000004	19.94292110315664	19.725398547857168	18.60203288481724	18.55585972419403	18.622777348285634
2025-01-14 08:40:00	19.21464105177208	19.506118708040752	19.083687322144126	19.606581529999996	19.889480217362458	19.479482119735703	19.2787776989682	19.368540035012586	19.238449692919275	19.713959782501924	19.766633268821746	19.690294882850985	18.483547130000005	18.429720711271365	18.507730013776634
